data_avg,data_max,data_min,data_std,epoch,lr-AdamW,step,train_acc,train_loss,valid_acc,valid_accuracy,valid_balanced_accuracy,valid_cohen_kappa,valid_f1,valid_loss,valid_precision,valid_recall,valid_roc_auc
,,,,63,,5247,,,0.6555555462837219,0.6555555462837219,0.6555555462837219,0.31111112236976624,0.7068557739257812,0.6403614282608032,0.6152263283729553,0.8305555582046509,0.7252469062805176
0.020639341324567795,0.300986111164093,-0.2112453430891037,0.18161368370056152,63,,5247,0.7147509455680847,0.5533098578453064,,,,,,,,,
,,,,,0.000168619435059458,5248,,,,,,,,,,,
,,,,64,,5329,,,0.6625000238418579,0.6625000238418579,0.6625000238418579,0.32499998807907104,0.7047387361526489,0.6302152872085571,0.6263498663902283,0.8055555820465088,0.7252083420753479
0.020687304437160492,0.30052849650382996,-0.21129940450191498,0.18155746161937714,64,,5329,0.7099617123603821,0.5548721551895142,,,,,,,,,
,,,,,0.00016088895664977546,5330,,,,,,,,,,,
,,,,65,,5411,,,0.6638888716697693,0.6638888716697693,0.6638888716697693,0.32777777314186096,0.704878032207489,0.6274967789649963,0.6282608509063721,0.8027777671813965,0.7246218919754028
0.020152604207396507,0.299387127161026,-0.21236370503902435,0.18167290091514587,65,,5411,0.7151340842247009,0.5524554252624512,,,,,,,,,
,,,,,0.0001532187858676559,5412,,,,,,,,,,,
,,,,66,,5493,,,0.6402778029441833,0.6402778029441833,0.6402778029441833,0.2805555462837219,0.7026406526565552,0.6570364236831665,0.5988258123397827,0.8500000238418579,0.7248457074165344
0.020189832895994186,0.2985183298587799,-0.21271786093711853,0.18196792900562286,66,,5493,0.7032567262649536,0.5537447929382324,,,,,,,,,
,,,,,0.00014562074956050048,5494,,,,,,,,,,,
,,,,67,,5575,,,0.637499988079071,0.637499988079071,0.637499988079071,0.2750000059604645,0.6975666284561157,0.6483595967292786,0.5984095335006714,0.8361111283302307,0.725902795791626
0.020178936421871185,0.29835012555122375,-0.21320903301239014,0.18190206587314606,67,,5575,0.7091953754425049,0.5547338128089905,,,,,,,,,
,,,,,0.0001381065633495781,5576,,,,,,,,,,,
,,,,68,,5657,,,0.6513888835906982,0.6513888835906982,0.6513888835906982,0.3027777671813965,0.7036599516868591,0.6378152370452881,0.6119096279144287,0.8277778029441833,0.7263734340667725
0.020324017852544785,0.2976665496826172,-0.21286799013614655,0.1817079782485962,68,,5657,0.7124521136283875,0.5559220910072327,,,,,,,,,
,,,,,0.00013068781356538682,5658,,,,,,,,,,,
,,,,69,,5739,,,0.6583333611488342,0.6583333611488342,0.6583333611488342,0.3166666626930237,0.7078384757041931,0.6358250379562378,0.6182572841644287,0.8277778029441833,0.7276774644851685
0.020115023478865623,0.29693692922592163,-0.21346130967140198,0.18166354298591614,69,,5739,0.7155172228813171,0.5558081865310669,,,,,,,,,
,,,,,0.00012337593938237232,5740,,,,,,,,,,,
,,,,70,,5821,,,0.6416666507720947,0.6416666507720947,0.6416666507720947,0.28333333134651184,0.706818163394928,0.6567121148109436,0.5980769395828247,0.8638888597488403,0.7283873558044434
0.01970612443983555,0.2959805727005005,-0.21180424094200134,0.1814161241054535,70,,5821,0.7128352522850037,0.5537539124488831,,,,,,,,,
,,,,,0.0001161822151805494,5822,,,,,,,,,,,
,,,,71,,5903,,,0.6583333611488342,0.6583333611488342,0.6583333611488342,0.3166666626930237,0.7078384757041931,0.6365752220153809,0.6182572841644287,0.8277778029441833,0.7284336686134338
0.0200175903737545,0.29659661650657654,-0.21277163922786713,0.18162697553634644,71,,5903,0.7136015295982361,0.5523703694343567,,,,,,,,,
,,,,,0.00010911773316122599,5904,,,,,,,,,,,
